Time,Lon,Lat,,,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
00:00.0,114.897311,4.97826983,,,,1,0,1.59,,114.8972954,1.07E-05,,,
00:01.0,114.8973108,4.97826983,,,,2,4.59,6.59,,114.8976913,5.29E-06,,,
00:02.0,114.8973108,4.97827,,,,3,8.15,10.15,,114.8979382,3.40E-06,,,
00:04.0,114.8973107,4.97827033,,,,4,10.59,13,,114.8980966,3.84E-06,,,
00:05.0,114.8973108,4.97827067,,,,5,14.14,16.15,,114.898288,1.01E-05,,,
00:07.0,114.897311,4.9782715,,,,6,17.59,19.59,,114.8979264,4.31E-07,,,
00:09.0,114.8973112,4.97827217,,,,7,22.4,24.39,,114.8974166,9.88E-06,,,
00:10.0,114.8973113,4.9782725,,,,8,25.43,27.45,,114.8973108,1.05E-06,,,
00:11.0,114.8973113,4.97827283,,,,9,28.44,30.45,,114.8971726,3.74E-06,,,
00:13.0,114.8973118,4.97827317,,,,10,32.1,34.1,,114.8971995,2.29E-05,,,
00:16.0,114.8973128,4.9782735,,,,,,,,,,,,
00:17.0,114.897313,4.9782735,,,,,,,,,,,,
00:18.0,114.8973135,4.9782735,,,,,,,,,,,,
00:20.0,114.8973135,4.97827317,,,,,,,,,,,,
00:23.0,114.8973135,4.97827233,,,,,,,,,,,,
00:25.0,114.8973125,4.9782715,,,,,,,,,,,,
00:27.0,114.8973103,4.97827033,,,,,,,,,,,,
00:29.0,114.8973087,4.97826983,,,,,,,,,,,,
00:32.0,114.897307,4.9782695,,,,,,,,,,,,
00:34.0,114.8973052,4.97826917,,,,,,,,,,,,
00:35.0,114.8973047,4.97826917,,,,,,,,,,,,
00:36.0,114.8973045,4.9782695,,,,,,,,,,,,
00:38.0,114.8973032,4.9782695,,,,,,,,,,,,
00:40.0,114.8973017,4.97826933,,,,,,,,,,,,
00:41.0,114.897301,4.97826917,,,,,,,,,,,,
00:42.0,114.8973002,4.97826883,,,,,,,,,,,,
00:44.0,114.8972993,4.97826867,,,,,,,,,,,,
00:45.0,114.8972988,4.97826867,,,,,,,,,,,,
00:46.0,114.8972973,4.97826817,,,,,,,,,,,,
00:47.0,114.8972968,4.978268,,,,,,,,,,,,
00:50.0,114.8972955,4.97826783,,,,,,,,,,,,
00:53.0,114.8972937,4.97826733,,,,,,,,,,,,
00:56.0,114.8972915,4.97826583,,,,,,,,,,,,
00:57.0,114.8972903,4.97826517,,,,,,,,,,,,
00:58.0,114.8972895,4.978265,,,,,,,,,,,,
00:59.0,114.8972887,4.97826483,,,,,,,,,,,,
01:02.0,114.897287,4.97826333,,,,,,,,,,,,
01:03.0,114.8972862,4.97826267,,,,,,,,,,,,
01:04.0,114.8972855,4.97826217,,,,,,,,,,,,
01:05.0,114.8972848,4.9782615,,,,,,,,,,,,
01:09.0,114.8972832,4.97826083,,,,,,,,,,,,
01:10.0,114.897283,4.978261,,,,,,,,,,,,
01:12.0,114.8972832,4.97826117,,,,,,,,,,,,
01:14.0,114.8972833,4.97826033,,,,,,,,,,,,
01:15.0,114.8972837,4.9782605,,,,,,,,,,,,
01:16.0,114.8972842,4.9782605,,,,,,,,,,,,
01:17.0,114.8972852,4.9782605,,,,,,,,,,,,
01:18.0,114.8972857,4.97826033,,,,,,,,,,,,
01:19.0,114.8972857,4.97825967,,,,,,,,,,,,
01:20.0,114.8972857,4.9782595,,,,,,,,,,,,
01:21.0,114.8972852,4.97825883,,,,,,,,,,,,
01:22.0,114.8972852,4.97825833,,,,,,,,,,,,
01:23.0,114.897285,4.97825783,,,,,,,,,,,,
01:24.0,114.8972847,4.97825733,,,,,,,,,,,,
01:27.0,114.8972843,4.978256,,,,,,,,,,,,
01:28.0,114.8972845,4.97825533,,,,,,,,,,,,
01:29.0,114.8972847,4.97825483,,,,,,,,,,,,
01:30.0,114.897285,4.9782545,,,,,,,,,,,,
01:32.0,114.8972855,4.97825383,,,,,,,,,,,,
01:34.0,114.8972865,4.97825283,,,,,,,,,,,,
01:35.0,114.8972865,4.97825233,,,,,,,,,,,,
01:36.0,114.8972862,4.97825183,,,,,,,,,,,,
01:37.0,114.897286,4.9782515,,,,,,,,,,,,
01:38.0,114.8972862,4.97825117,,,,,,,,,,,,
01:40.0,114.8972863,4.9782505,,,,,,,,,,,,
01:41.0,114.8972868,4.97825067,,,,,,,,,,,,
01:42.0,114.8972877,4.97825083,,,,,,,,,,,,
01:43.0,114.8972883,4.97825083,,,,,,,,,,,,
01:45.0,114.8972898,4.97825083,,,,,,,,,,,,
01:46.0,114.8972903,4.978251,,,,,,,,,,,,
01:48.0,114.8972912,4.978251,,,,,,,,,,,,
01:50.0,114.897292,4.978251,,,,,,,,,,,,
01:52.0,114.8972927,4.97825117,,,,,,,,,,,,
01:55.0,114.8972942,4.978252,,,,,,,,,,,,
01:56.0,114.8972947,4.97825217,,,,,,,,,,,,
01:57.0,114.897295,4.97825233,,,,,,,,,,,,
01:58.0,114.8972955,4.97825283,,,,,,,,,,,,
01:59.0,114.8972958,4.978253,,,,,,,,,,,,
02:02.0,114.897296,4.9782535,,,,,,,,,,,,
02:04.0,114.8972957,4.978253,,,,,,,,,,,,
02:08.0,114.897296,4.97825067,,,,,,,,,,,,
02:09.0,114.8972977,4.97824633,,,,,,,,,,,,
02:10.0,114.8973013,4.9782405,,,,,,,,,,,,
02:11.0,114.897307,4.978234,,,,,,,,,,,,
02:14.0,114.8973257,4.97821567,,,,,,,,,,,,
02:15.0,114.8973333,4.9782095,,,,,,,,,,,,
02:16.0,114.8973408,4.97820317,,,,,,,,,,,,
02:17.0,114.8973487,4.9781965,,,,,,,,,,,,
02:19.0,114.897369,4.97818083,,,,,,,,,,,,
02:20.0,114.8973778,4.97817117,,,,,,,,,,,,
02:22.0,114.897396,4.97815117,,,,,,,,,,,,
02:23.0,114.8974035,4.9781415,,,,,,,,,,,,
02:26.0,114.8974247,4.97811117,,,,,,,,,,,,
