Time,Lon,Lat,,,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
00:00.0,114.897477,4.97828967,,,,1,0,2,,,,,,
00:01.0,114.8974748,4.97829017,,,,2,3,5,,,,,,
00:02.0,114.8974728,4.9782905,,,,3,6,8,,,,,,
00:03.0,114.897471,4.978291,,,,4,8.3,10.3,,,,,,
00:04.0,114.897468,4.97829133,,,,5,11.45,13.45,,,,,,
00:05.0,114.8974652,4.97829167,,,,6,15.15,17.15,,,,,,
00:07.0,114.8974608,4.978292,,,,7,19,21,,,,,,
00:09.0,114.8974573,4.97829217,,,,8,21.5,23.5,,,,,,
00:10.0,114.8974552,4.97829067,,,,9,24.45,26.45,,,,,,
00:11.0,114.897453,4.97828917,,,,10,28,30,,,,,,
00:12.0,114.897451,4.978288,,,,,,,,,,,,
00:13.0,114.8974488,4.9782865,,,,,,,,,,,,
00:14.0,114.8974468,4.97828517,,,,,,,,,,,,
00:15.0,114.8974447,4.97828367,,,,,,,,,,,,
00:16.0,114.8974425,4.97828233,,,,,,,,,,,,
00:18.0,114.8974387,4.97828,,,,,,,,,,,,
00:20.0,114.8974358,4.97827883,,,,,,,,,,,,
00:21.0,114.8974348,4.9782785,,,,,,,,,,,,
00:22.0,114.8974337,4.97827817,,,,,,,,,,,,
00:24.0,114.8974318,4.978278,,,,,,,,,,,,
00:26.0,114.8974295,4.9782765,,,,,,,,,,,,
00:27.0,114.8974283,4.97827567,,,,,,,,,,,,
00:28.0,114.8974272,4.97827483,,,,,,,,,,,,
00:30.0,114.8974255,4.97827433,,,,,,,,,,,,
00:31.0,114.8974245,4.97827367,,,,,,,,,,,,
00:32.0,114.8974233,4.97827267,,,,,,,,,,,,
00:33.0,114.8974222,4.978272,,,,,,,,,,,,
00:35.0,114.8974198,4.97826983,,,,,,,,,,,,
00:36.0,114.8974187,4.97826867,,,,,,,,,,,,
00:37.0,114.8974177,4.97826833,,,,,,,,,,,,
00:38.0,114.897417,4.978268,,,,,,,,,,,,
00:39.0,114.8974163,4.97826767,,,,,,,,,,,,
00:40.0,114.8974157,4.978267,,,,,,,,,,,,
00:41.0,114.8974148,4.97826617,,,,,,,,,,,,
00:42.0,114.8974145,4.97826617,,,,,,,,,,,,
00:43.0,114.897414,4.978266,,,,,,,,,,,,
00:44.0,114.8974133,4.9782655,,,,,,,,,,,,
00:46.0,114.8974118,4.97826383,,,,,,,,,,,,
00:47.0,114.8974115,4.9782635,,,,,,,,,,,,
