Time,Lon,Lat,,,,,UTC
03:04.0,114.8976293,4.97814,,,,,14:49.0
03:06.0,114.8976315,4.978139,,,,,14:51.0
03:08.0,114.897634,4.97813833,,,,,14:53.0
03:10.0,114.8976367,4.9781385,,,,,14:55.0
03:12.0,114.8976397,4.97813883,,,,,14:57.0
03:14.0,114.8976423,4.9781395,,,,,14:59.0
03:16.0,114.8976447,4.97813967,,,,,15:01.0
03:18.0,114.897647,4.97814,,,,,15:03.0
03:20.0,114.8976488,4.9781395,,,,,15:05.0
03:22.0,114.8976505,4.978139,,,,,15:07.0
03:24.0,114.8976522,4.978139,,,,,15:09.0
03:26.0,114.8976535,4.9781385,,,,,15:11.0
03:28.0,114.897655,4.97813883,,,,,15:13.0
03:30.0,114.8976565,4.9781385,,,,,15:15.0
03:32.0,114.8976577,4.9781385,,,,,15:17.0
03:34.0,114.897659,4.9781385,,,,,15:19.0
03:36.0,114.89766,4.97813783,,,,,15:21.0
03:38.0,114.8976608,4.97813733,,,,,15:23.0
03:40.0,114.8976618,4.97813717,,,,,15:25.0
03:42.0,114.8976627,4.97813683,,,,,15:27.0
03:44.0,114.8976635,4.9781365,,,,,15:29.0
03:46.0,114.897664,4.978136,,,,,15:31.0
03:48.0,114.8976648,4.97813567,,,,,15:33.0
03:50.0,114.8976657,4.97813517,,,,,15:35.0
03:52.0,114.8976662,4.97813467,,,,,15:37.0
03:54.0,114.8976667,4.97813383,,,,,15:39.0
03:56.0,114.8976673,4.978133,,,,,15:41.0
03:58.0,114.897668,4.97813283,,,,,15:43.0
04:00.0,114.8976688,4.97813283,,,,,15:45.0
04:02.0,114.8976697,4.97813283,,,,,15:47.0
04:04.0,114.8976703,4.97813233,,,,,15:49.0
04:06.0,114.897671,4.9781315,,,,,15:51.0
04:08.0,114.8976717,4.97813117,,,,,15:53.0
04:10.0,114.8976723,4.978131,,,,,15:55.0
04:12.0,114.897673,4.97813083,,,,,15:57.0
04:14.0,114.8976735,4.9781305,,,,,15:59.0
04:16.0,114.897674,4.97812967,,,,,16:01.0
04:18.0,114.8976745,4.9781295,,,,,16:03.0
04:20.0,114.897675,4.97812917,,,,,16:05.0
04:22.0,114.8976755,4.97812867,,,,,16:07.0
04:24.0,114.897676,4.97812833,,,,,16:09.0
04:26.0,114.8976763,4.97812783,,,,,16:11.0
04:28.0,114.897677,4.97812733,,,,,16:13.0
04:30.0,114.8976772,4.97812667,,,,,16:15.0
04:32.0,114.8976775,4.97812583,,,,,16:17.0
04:34.0,114.8976777,4.97812417,,,,,16:19.0
04:36.0,114.8976778,4.97812333,,,,,16:21.0
04:38.0,114.8976782,4.97812283,,,,,16:23.0
04:40.0,114.8976783,4.97812267,,,,,16:25.0
04:42.0,114.8976785,4.978122,,,,,16:27.0
04:44.0,114.8976788,4.9781215,,,,,16:29.0
04:46.0,114.897679,4.978121,,,,,16:31.0
04:48.0,114.8976792,4.97812067,,,,,16:33.0
04:50.0,114.8976793,4.97812033,,,,,16:35.0
04:52.0,114.8976798,4.97812033,,,,,16:37.0
04:54.0,114.8976803,4.97812067,,,,,16:39.0
04:56.0,114.8976807,4.978121,,,,,16:41.0
04:58.0,114.897681,4.97812083,,,,,16:43.0
05:00.0,114.8976815,4.97812167,,,,,16:45.0
05:02.0,114.897681,4.97812033,,,,,16:47.0
05:04.0,114.8976893,4.97811617,,,,,16:49.0
05:06.0,114.8976972,4.97811383,,,,,16:51.0
05:08.0,114.897709,4.9781155,,,,,16:53.0
05:10.0,114.8977238,4.978123,,,,,16:55.0
05:12.0,114.8977397,4.97813567,,,,,16:57.0
05:14.0,114.8977522,4.97815517,,,,,16:59.0
05:16.0,114.8977642,4.97817333,,,,,17:01.0
05:18.0,114.8977782,4.97818867,,,,,17:03.0
05:20.0,114.8977908,4.97820383,,,,,17:05.0
05:22.0,114.8978008,4.978219,,,,,17:07.0
05:24.0,114.8978015,4.97823233,,,,,17:09.0
05:26.0,114.8978072,4.97824617,,,,,17:11.0
05:28.0,114.8978195,4.97826167,,,,,17:13.0
