Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
86,46:53.0,01:48.0,114.8974193,4.97825733,,,,,,,,,,
87,46:55.0,01:50.0,114.8974195,4.978257,,,,,,,,,,
88,46:56.0,01:51.0,114.8974198,4.97825767,,,,,,,,,,
89,46:57.0,01:52.0,114.8974202,4.97825833,,,,,,,,,,
90,46:58.0,01:53.0,114.8974203,4.97825883,,,,,,,,,,
91,46:59.0,01:54.0,114.8974202,4.97825933,,,,,,,,,,
92,47:00.0,01:55.0,114.89742,4.97825967,,,,,,,,,,
93,47:01.0,01:56.0,114.8974198,4.97826,,,,,,,,,,
94,47:02.0,01:57.0,114.8974198,4.97826083,,,,,,,,,,
95,47:03.0,01:58.0,114.8974198,4.97826133,,,,,,,,,,
96,47:04.0,01:59.0,114.8974202,4.97826217,,,,,,,,,,
97,47:05.0,02:00.0,114.8974202,4.978263,,,,,,,,,,
98,47:06.0,02:01.0,114.8974198,4.9782635,,,,,,,,,,
99,47:07.0,02:02.0,114.8974195,4.9782635,,,,,,,,,,
100,47:08.0,02:03.0,114.8974193,4.97826417,,,,,,,,,,
101,47:09.0,02:04.0,114.8974192,4.97826467,,,,,,,,,,
102,47:10.0,02:05.0,114.897419,4.97826517,,,,,,,,,,
103,47:12.0,02:07.0,114.8974187,4.97826567,,,,,,,,,,
104,47:14.0,02:09.0,114.8974185,4.97826617,,,,,,,,,,
105,47:15.0,02:10.0,114.8974177,4.97826633,,,,,,,,,,
106,47:16.0,02:11.0,114.8974175,4.97826617,,,,,,,,,,
107,47:18.0,02:13.0,114.8974263,4.9782605,,,,,,,,,,
108,47:20.0,02:15.0,114.8974403,4.97824983,,,,,,,,,,
109,47:22.0,02:17.0,114.8974553,4.97823867,,,,,,,,,,
110,47:23.0,02:18.0,114.897463,4.978235,,,,,,,,,,
111,47:24.0,02:19.0,114.8974662,4.97823,,,,,,,,,,
112,47:25.0,02:20.0,114.89747,4.97822267,,,,,,,,,,
113,47:26.0,02:21.0,114.8974758,4.97821483,,,,,,,,,,
114,47:29.0,02:24.0,114.8975027,4.97819517,,,,,,,,,,
115,47:30.0,02:25.0,114.8975128,4.97818983,,,,,,,,,,
116,47:31.0,02:26.0,114.8975212,4.97818383,,,,,,,,,,
117,47:32.0,02:27.0,114.8975287,4.97817717,,,,,,,,,,
118,47:34.0,02:29.0,114.8975402,4.97816717,,,,,,,,,,
119,47:35.0,02:30.0,114.8975448,4.978162,,,,,,,,,,
120,47:36.0,02:31.0,114.8975533,4.97815833,,,,,,,,,,
121,47:37.0,02:32.0,114.8975638,4.97815367,,,,,,,,,,
122,47:39.0,02:34.0,114.8975827,4.9781455,,,,,,,,,,
123,47:41.0,02:36.0,114.897597,4.9781385,,,,,,,,,,
124,47:42.0,02:37.0,114.8976043,4.978134,,,,,,,,,,
125,47:43.0,02:38.0,114.8976142,4.97813117,,,,,,,,,,
126,47:45.0,02:40.0,114.8976367,4.97813117,,,,,,,,,,
127,47:46.0,02:41.0,114.8976428,4.97813417,,,,,,,,,,
128,47:47.0,02:42.0,114.8976467,4.97813617,,,,,,,,,,
129,47:48.0,02:43.0,114.89765,4.978138,,,,,,,,,,
130,47:49.0,02:44.0,114.8976535,4.97813983,,,,,,,,,,
131,47:51.0,02:46.0,114.8976592,4.97814267,,,,,,,,,,
132,47:53.0,02:48.0,114.897664,4.9781455,,,,,,,,,,
133,47:55.0,02:50.0,114.8976677,4.97814683,,,,,,,,,,
134,47:57.0,02:52.0,114.8976712,4.97814817,,,,,,,,,,
135,47:59.0,02:54.0,114.8976745,4.9781495,,,,,,,,,,
136,48:01.0,02:56.0,114.8976773,4.97815083,,,,,,,,,,
137,48:03.0,02:58.0,114.8976795,4.97815117,,,,,,,,,,
138,48:05.0,03:00.0,114.8976817,4.978152,,,,,,,,,,
139,48:07.0,03:02.0,114.8976837,4.97815233,,,,,,,,,,
140,48:09.0,03:04.0,114.8976857,4.97815283,,,,,,,,,,
141,48:11.0,03:06.0,114.8976875,4.978153,,,,,,,,,,
142,48:13.0,03:08.0,114.897689,4.978153,,,,,,,,,,
143,48:15.0,03:10.0,114.8976933,4.97815717,,,,,,,,,,
144,48:17.0,03:12.0,114.8977028,4.97816133,,,,,,,,,,
145,48:19.0,03:14.0,114.897708,4.97816867,,,,,,,,,,
146,48:21.0,03:16.0,114.8977122,4.97817333,,,,,,,,,,
147,48:23.0,03:18.0,114.8977142,4.97817817,,,,,,,,,,
148,48:25.0,03:20.0,114.8977157,4.97818017,,,,,,,,,,
149,48:27.0,03:22.0,114.8977155,4.97817933,,,,,,,,,,
150,48:29.0,03:24.0,114.8977155,4.97817867,,,,,,,,,,
151,48:31.0,03:26.0,114.8977157,4.978178,,,,,,,,,,
152,48:33.0,03:28.0,114.8977158,4.9781775,,,,,,,,,,
153,48:35.0,03:30.0,114.8977155,4.97818317,,,,,,,,,,
154,48:37.0,03:32.0,114.8977158,4.97819,,,,,,,,,,
155,48:39.0,03:34.0,114.8977173,4.9781915,,,,,,,,,,
156,48:41.0,03:36.0,114.8977172,4.97819133,,,,,,,,,,
157,48:43.0,03:38.0,114.8977183,4.978192,,,,,,,,,,
158,48:45.0,03:40.0,114.897716,4.97819933,,,,,,,,,,
159,48:47.0,03:42.0,114.8977143,4.9782035,,,,,,,,,,
160,48:49.0,03:44.0,114.8977148,4.978203,,,,,,,,,,
161,48:51.0,03:46.0,114.8977148,4.9782025,,,,,,,,,,
162,48:53.0,03:48.0,114.897715,4.978201,,,,,,,,,,
163,48:54.0,03:49.0,114.8977152,4.97820033,,,,,,,,,,
164,48:55.0,03:50.0,114.8977152,4.97819967,,,,,,,,,,
165,48:57.0,03:52.0,114.8977152,4.97819783,,,,,,,,,,
166,48:59.0,03:54.0,114.8977152,4.97819583,,,,,,,,,,
167,49:01.0,03:56.0,114.8977152,4.97819417,,,,,,,,,,
168,49:03.0,03:58.0,114.897715,4.97819283,,,,,,,,,,
169,49:05.0,04:00.0,114.8977142,4.978193,,,,,,,,,,
170,49:07.0,04:02.0,114.8977137,4.97819233,,,,,,,,,,
171,49:09.0,04:04.0,114.897713,4.978191,,,,,,,,,,
172,49:11.0,04:06.0,114.8977127,4.97818967,,,,,,,,,,
173,49:13.0,04:08.0,114.8977123,4.97818817,,,,,,,,,,
174,49:15.0,04:10.0,114.8977122,4.97818667,,,,,,,,,,
175,49:17.0,04:12.0,114.897712,4.97818567,,,,,,,,,,
176,49:19.0,04:14.0,114.897712,4.97818483,,,,,,,,,,
177,49:21.0,04:16.0,114.8977122,4.97818383,,,,,,,,,,
178,49:23.0,04:18.0,114.8977123,4.97818317,,,,,,,,,,
179,49:25.0,04:20.0,114.8977125,4.97818267,,,,,,,,,,
180,49:27.0,04:22.0,114.8977125,4.97818267,,,,,,,,,,
181,49:28.0,04:23.0,114.8977127,4.97818267,,,,,,,,,,
182,49:29.0,04:24.0,114.8977127,4.97818267,,,,,,,,,,
183,49:31.0,04:26.0,114.8977128,4.97818283,,,,,,,,,,
184,49:33.0,04:28.0,114.8977128,4.978183,,,,,,,,,,
185,49:34.0,04:29.0,114.8977128,4.97818333,,,,,,,,,,
186,49:35.0,04:30.0,114.8977128,4.9781835,,,,,,,,,,
187,49:37.0,04:32.0,114.8977125,4.97818417,,,,,,,,,,
188,49:39.0,04:34.0,114.8977123,4.97818467,,,,,,,,,,
189,49:40.0,04:35.0,114.8977123,4.978185,,,,,,,,,,
190,49:42.0,04:37.0,114.8977122,4.97818583,,,,,,,,,,
191,49:43.0,04:38.0,114.8977122,4.97818617,,,,,,,,,,
192,49:45.0,04:40.0,114.8977123,4.97818683,,,,,,,,,,
193,49:46.0,04:41.0,114.8977123,4.97818717,,,,,,,,,,
194,49:47.0,04:42.0,114.8977123,4.97818733,,,,,,,,,,
195,49:48.0,04:43.0,114.8977125,4.97818733,,,,,,,,,,
196,49:49.0,04:44.0,114.8977125,4.9781875,,,,,,,,,,
197,49:50.0,04:45.0,114.8977127,4.9781875,,,,,,,,,,
198,49:51.0,04:46.0,114.8977127,4.9781875,,,,,,,,,,
199,49:52.0,04:47.0,114.8977128,4.9781875,,,,,,,,,,
200,49:53.0,04:48.0,114.8977128,4.9781875,,,,,,,,,,
201,49:55.0,04:50.0,114.897713,4.9781875,,,,,,,,,,
202,49:57.0,04:52.0,114.8977133,4.97818733,,,,,,,,,,
203,49:59.0,04:54.0,114.8977135,4.978187,,,,,,,,,,
204,50:01.0,04:56.0,114.8977137,4.97818667,,,,,,,,,,
205,50:03.0,04:58.0,114.8977138,4.97818633,,,,,,,,,,
206,50:05.0,05:00.0,114.897714,4.97818633,,,,,,,,,,
207,50:07.0,05:02.0,114.897714,4.97818633,,,,,,,,,,
208,50:08.0,05:03.0,114.8977142,4.97818633,,,,,,,,,,
209,50:09.0,05:04.0,114.8977142,4.978186,,,,,,,,,,
210,50:11.0,05:06.0,114.8977153,4.97818633,,,,,,,,,,
211,50:12.0,05:07.0,114.8977162,4.97818383,,,,,,,,,,
212,50:13.0,05:08.0,114.8977178,4.9781805,,,,,,,,,,
213,50:14.0,05:09.0,114.89772,4.9781785,,,,,,,,,,
214,50:15.0,05:10.0,114.897722,4.97817733,,,,,,,,,,
215,50:16.0,05:11.0,114.8977258,4.97817533,,,,,,,,,,
216,50:17.0,05:12.0,114.8977298,4.97817133,,,,,,,,,,
217,50:18.0,05:13.0,114.8977338,4.97816817,,,,,,,,,,
218,50:19.0,05:14.0,114.8977395,4.9781715,,,,,,,,,,
219,50:20.0,05:15.0,114.8977467,4.97817717,,,,,,,,,,
220,50:21.0,05:16.0,114.8977542,4.97818367,,,,,,,,,,
221,50:22.0,05:17.0,114.897762,4.97818967,,,,,,,,,,
222,50:23.0,05:18.0,114.8977697,4.97819467,,,,,,,,,,
223,50:24.0,05:19.0,114.8977777,4.9782015,,,,,,,,,,
224,50:25.0,05:20.0,114.8977855,4.9782075,,,,,,,,,,
225,50:26.0,05:21.0,114.8977923,4.97821283,,,,,,,,,,
226,50:28.0,05:23.0,114.8978052,4.9782265,,,,,,,,,,
227,50:29.0,05:24.0,114.8978113,4.97823283,,,,,,,,,,
228,50:31.0,05:26.0,114.8978225,4.97824683,,,,,,,,,,
229,50:32.0,05:27.0,114.8978282,4.9782525,,,,,,,,,,
230,50:34.0,05:29.0,114.8978395,4.978266,,,,,,,,,,
231,50:36.0,05:31.0,114.897852,4.97828067,,,,,,,,,,
232,50:37.0,05:32.0,114.8978592,4.97828783,,,,,,,,,,
233,50:39.0,05:34.0,114.8978722,4.97830217,,,,,,,,,,
234,50:41.0,05:36.0,114.8978855,4.97831583,,,,,,,,,,
235,50:43.0,05:38.0,114.8979007,4.97832383,,,,,,,,,,
236,50:44.0,05:39.0,114.8979095,4.97832683,,,,,,,,,,
237,50:45.0,05:40.0,114.8979183,4.97833167,,,,,,,,,,
238,50:47.0,05:42.0,114.8979342,4.97834317,,,,,,,,,,
239,50:49.0,05:44.0,114.8979482,4.97835767,,,,,,,,,,
240,50:51.0,05:46.0,114.8979613,4.97837167,,,,,,,,,,
241,50:53.0,05:48.0,114.8979727,4.9783815,,,,,,,,,,
242,50:55.0,05:50.0,114.8979727,4.9783895,,,,,,,,,,
243,50:57.0,05:52.0,114.8979727,4.97839,,,,,,,,,,
244,50:59.0,05:54.0,114.8979725,4.97839017,,,,,,,,,,
245,51:01.0,05:56.0,114.8979722,4.97839033,,,,,,,,,,
246,51:03.0,05:58.0,114.897972,4.97839083,,,,,,,,,,
247,51:05.0,06:00.0,114.897972,4.97839117,,,,,,,,,,
248,51:07.0,06:02.0,114.897972,4.9783915,,,,,,,,,,
249,51:09.0,06:04.0,114.897972,4.97839183,,,,,,,,,,
250,51:11.0,06:06.0,114.897972,4.978392,,,,,,,,,,
251,51:13.0,06:08.0,114.897972,4.97839217,,,,,,,,,,
252,51:15.0,06:10.0,114.897972,4.97839233,,,,,,,,,,
253,51:17.0,06:12.0,114.897972,4.9783925,,,,,,,,,,
254,51:19.0,06:14.0,114.897972,4.9783925,,,,,,,,,,
255,51:21.0,06:16.0,114.897972,4.97839267,,,,,,,,,,
256,51:23.0,06:18.0,114.8979722,4.97839283,,,,,,,,,,
257,51:25.0,06:20.0,114.897972,4.97839283,,,,,,,,,,
258,51:27.0,06:22.0,114.8979722,4.97839283,,,,,,,,,,
259,51:29.0,06:24.0,114.8979722,4.97839283,,,,,,,,,,
260,51:31.0,06:26.0,114.8979722,4.978393,,,,,,,,,,
261,51:33.0,06:28.0,114.897972,4.978393,,,,,,,,,,
262,51:35.0,06:30.0,114.8979718,4.978393,,,,,,,,,,
263,51:37.0,06:32.0,114.8979718,4.978393,,,,,,,,,,
264,51:38.0,06:33.0,114.8979717,4.978393,,,,,,,,,,
265,51:39.0,06:34.0,114.8979717,4.978393,,,,,,,,,,
266,51:40.0,06:35.0,114.8979717,4.97839317,,,,,,,,,,
267,51:41.0,06:36.0,114.8979717,4.97839317,,,,,,,,,,
268,51:42.0,06:37.0,114.8979717,4.97839317,,,,,,,,,,
269,51:43.0,06:38.0,114.8979715,4.97839317,,,,,,,,,,
270,51:44.0,06:39.0,114.8979715,4.97839317,,,,,,,,,,
271,51:46.0,06:41.0,114.8979713,4.97839317,,,,,,,,,,
272,51:47.0,06:42.0,114.8979713,4.97839317,,,,,,,,,,
273,51:48.0,06:43.0,114.8979712,4.97839317,,,,,,,,,,
274,51:50.0,06:45.0,114.8979712,4.97839317,,,,,,,,,,
275,51:52.0,06:47.0,114.897971,4.97839317,,,,,,,,,,
276,51:54.0,06:49.0,114.8979708,4.978393,,,,,,,,,,
277,51:56.0,06:51.0,114.8979707,4.978393,,,,,,,,,,
278,51:58.0,06:53.0,114.8979705,4.978393,,,,,,,,,,
279,52:00.0,06:55.0,114.8979703,4.97839317,,,,,,,,,,
280,52:01.0,06:56.0,114.8979703,4.97839317,,,,,,,,,,
281,52:02.0,06:57.0,114.8979702,4.97839317,,,,,,,,,,
282,52:03.0,06:58.0,114.8979702,4.978393,,,,,,,,,,
283,52:04.0,06:59.0,114.8979702,4.978393,,,,,,,,,,
284,52:05.0,07:00.0,114.89797,4.978393,,,,,,,,,,
285,52:07.0,07:02.0,114.89797,4.978393,,,,,,,,,,
286,52:08.0,07:03.0,114.8979698,4.978393,,,,,,,,,,
287,52:09.0,07:04.0,114.8979698,4.978393,,,,,,,,,,
288,52:11.0,07:06.0,114.8979697,4.97839283,,,,,,,,,,
289,52:13.0,07:08.0,114.8979697,4.97839283,,,,,,,,,,
290,52:14.0,07:09.0,114.8979697,4.97839283,,,,,,,,,,
291,52:15.0,07:10.0,114.8979697,4.97839267,,,,,,,,,,
292,52:16.0,07:11.0,114.8979697,4.97839267,,,,,,,,,,
293,52:17.0,07:12.0,114.8979695,4.97839267,,,,,,,,,,
294,52:19.0,07:14.0,114.8979695,4.9783925,,,,,,,,,,
295,52:21.0,07:16.0,114.8979695,4.9783925,,,,,,,,,,
296,52:23.0,07:18.0,114.8979695,4.97839233,,,,,,,,,,
297,52:25.0,07:20.0,114.8979693,4.97839217,,,,,,,,,,
298,52:26.0,07:21.0,114.8979693,4.97839217,,,,,,,,,,
299,52:27.0,07:22.0,114.8979693,4.97839217,,,,,,,,,,
300,52:28.0,07:23.0,114.8979693,4.97839217,,,,,,,,,,
301,52:29.0,07:24.0,114.8979692,4.97839217,,,,,,,,,,
302,52:30.0,07:25.0,114.8979692,4.978392,,,,,,,,,,
303,52:31.0,07:26.0,114.8979692,4.978392,,,,,,,,,,
304,52:32.0,07:27.0,114.897969,4.978392,,,,,,,,,,
305,52:34.0,07:29.0,114.897969,4.978392,,,,,,,,,,
306,52:35.0,07:30.0,114.897969,4.978392,,,,,,,,,,
307,52:36.0,07:31.0,114.897969,4.97839183,,,,,,,,,,
308,52:37.0,07:32.0,114.8979688,4.97839183,,,,,,,,,,
309,52:38.0,07:33.0,114.8979688,4.97839183,,,,,,,,,,
310,52:39.0,07:34.0,114.8979688,4.97839183,,,,,,,,,,
311,52:41.0,07:36.0,114.8979687,4.97839183,,,,,,,,,,
312,52:42.0,07:37.0,114.8979687,4.97839183,,,,,,,,,,
313,52:43.0,07:38.0,114.8979687,4.97839183,,,,,,,,,,
314,52:45.0,07:40.0,114.8979685,4.97839183,,,,,,,,,,
315,52:47.0,07:42.0,114.8979685,4.97839183,,,,,,,,,,
316,52:48.0,07:43.0,114.8979685,4.97839183,,,,,,,,,,
317,52:49.0,07:44.0,114.8979685,4.97839183,,,,,,,,,,
318,52:50.0,07:45.0,114.8979683,4.97839183,,,,,,,,,,
319,52:51.0,07:46.0,114.8979683,4.97839183,,,,,,,,,,
320,52:52.0,07:47.0,114.8979682,4.97839183,,,,,,,,,,
321,52:53.0,07:48.0,114.8979682,4.97839183,,,,,,,,,,
322,52:54.0,07:49.0,114.8979682,4.97839183,,,,,,,,,,
323,52:55.0,07:50.0,114.8979682,4.97839183,,,,,,,,,,
324,52:57.0,07:52.0,114.8979682,4.97839167,,,,,,,,,,
325,52:59.0,07:54.0,114.8979682,4.97839183,,,,,,,,,,
326,53:00.0,07:55.0,114.8979682,4.97839183,,,,,,,,,,
327,53:02.0,07:57.0,114.897968,4.97839183,,,,,,,,,,
328,53:03.0,07:58.0,114.897968,4.97839183,,,,,,,,,,
329,53:04.0,07:59.0,114.897968,4.978392,,,,,,,,,,
330,53:05.0,08:00.0,114.897968,4.978392,,,,,,,,,,
331,53:06.0,08:01.0,114.897968,4.978392,,,,,,,,,,
332,53:08.0,08:03.0,114.8979682,4.97839333,,,,,,,,,,
333,53:09.0,08:04.0,114.8979697,4.978396,,,,,,,,,,
334,53:10.0,08:05.0,114.897973,4.9784005,,,,,,,,,,
335,53:11.0,08:06.0,114.897979,4.97840517,,,,,,,,,,
336,53:12.0,08:07.0,114.8979868,4.97841067,,,,,,,,,,
337,53:13.0,08:08.0,114.897996,4.978415,,,,,,,,,,
338,53:14.0,08:09.0,114.8980045,4.97841933,,,,,,,,,,
339,53:16.0,08:11.0,114.898021,4.97843,,,,,,,,,,
340,53:17.0,08:12.0,114.8980298,4.97843467,,,,,,,,,,
341,53:18.0,08:13.0,114.898038,4.97843883,,,,,,,,,,
342,53:19.0,08:14.0,114.8980462,4.9784425,,,,,,,,,,
343,53:21.0,08:16.0,114.8980635,4.97845133,,,,,,,,,,
344,53:22.0,08:17.0,114.8980712,4.97845533,,,,,,,,,,
345,53:24.0,08:19.0,114.8980857,4.978463,,,,,,,,,,
346,53:25.0,08:20.0,114.8980937,4.97846367,,,,,,,,,,
347,53:26.0,08:21.0,114.8981018,4.9784625,,,,,,,,,,
348,53:28.0,08:23.0,114.898108,4.978464,,,,,,,,,,
349,53:30.0,08:25.0,114.8981073,4.97846417,,,,,,,,,,
350,53:31.0,08:26.0,114.8981068,4.97846417,,,,,,,,,,
351,53:32.0,08:27.0,114.8981065,4.97846417,,,,,,,,,,
352,53:34.0,08:29.0,114.8981063,4.97846433,,,,,,,,,,
353,53:35.0,08:30.0,114.8981063,4.97846433,,,,,,,,,,
354,53:36.0,08:31.0,114.8981063,4.9784645,,,,,,,,,,
355,53:37.0,08:32.0,114.8981062,4.9784645,,,,,,,,,,
356,53:38.0,08:33.0,114.8981062,4.9784645,,,,,,,,,,
357,53:39.0,08:34.0,114.898106,4.9784645,,,,,,,,,,
358,53:41.0,08:36.0,114.898106,4.97846467,,,,,,,,,,
359,53:43.0,08:38.0,114.8981058,4.97846467,,,,,,,,,,
360,53:45.0,08:40.0,114.8981058,4.97846483,,,,,,,,,,
361,53:46.0,08:41.0,114.8981058,4.97846483,,,,,,,,,,
362,53:48.0,08:43.0,114.8981058,4.97846483,,,,,,,,,,
363,53:50.0,08:45.0,114.8981058,4.978465,,,,,,,,,,
364,53:52.0,08:47.0,114.8981058,4.97846517,,,,,,,,,,
365,53:54.0,08:49.0,114.898106,4.97846517,,,,,,,,,,
366,53:56.0,08:51.0,114.898106,4.97846517,,,,,,,,,,
367,53:57.0,08:52.0,114.8981062,4.97846517,,,,,,,,,,
368,53:58.0,08:53.0,114.8981062,4.97846517,,,,,,,,,,
369,53:59.0,08:54.0,114.8981062,4.97846517,,,,,,,,,,
370,54:00.0,08:55.0,114.8981062,4.97846533,,,,,,,,,,
