Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
0,22:53.0,00:00.0,114.897311,4.97826983,,1,0,1.59,,114.8972954,1.07137E-05,,,
1,22:54.0,00:01.0,114.8973108,4.97826983,,2,4.59,6.59,,114.8976913,5.28978E-06,,,
2,22:55.0,00:02.0,114.8973108,4.97827,,3,8.15,10.15,,114.8979382,3.39819E-06,,,
3,22:57.0,00:04.0,114.8973107,4.97827033,,4,10.59,13,,114.8980966,3.84074E-06,,,
4,22:58.0,00:05.0,114.8973108,4.97827067,,5,14.14,16.15,,114.898288,1.00951E-05,,,
5,23:00.0,00:07.0,114.897311,4.9782715,,6,17.59,19.59,,114.8979264,4.30566E-07,,,
6,23:02.0,00:09.0,114.8973112,4.97827217,,7,22.4,24.39,,114.8974166,9.87792E-06,,,
7,23:03.0,00:10.0,114.8973113,4.9782725,,8,25.43,27.45,,114.8973108,1.04943E-06,,,
8,23:04.0,00:11.0,114.8973113,4.97827283,,9,28.44,30.45,,114.8971726,3.73882E-06,,,
9,23:06.0,00:13.0,114.8973118,4.97827317,,10,32.1,34.1,,114.8971995,2.29023E-05,,,
10,23:09.0,00:16.0,114.8973128,4.9782735,,,,,,,,,,
11,23:10.0,00:17.0,114.897313,4.9782735,,,,,,,,,,
12,23:11.0,00:18.0,114.8973135,4.9782735,,,,,,,,,,
13,23:13.0,00:20.0,114.8973135,4.97827317,,,,,,,,,,
14,23:16.0,00:23.0,114.8973135,4.97827233,,,,,,,,,,
15,23:18.0,00:25.0,114.8973125,4.9782715,,,,,,,,,,
16,23:20.0,00:27.0,114.8973103,4.97827033,,,,,,,,,,
17,23:22.0,00:29.0,114.8973087,4.97826983,,,,,,,,,,
18,23:25.0,00:32.0,114.897307,4.9782695,,,,,,,,,,
19,23:27.0,00:34.0,114.8973052,4.97826917,,,,,,,,,,
20,23:28.0,00:35.0,114.8973047,4.97826917,,,,,,,,,,
21,23:29.0,00:36.0,114.8973045,4.9782695,,,,,,,,,,
22,23:31.0,00:38.0,114.8973032,4.9782695,,,,,,,,,,
23,23:33.0,00:40.0,114.8973017,4.97826933,,,,,,,,,,
24,23:34.0,00:41.0,114.897301,4.97826917,,,,,,,,,,
25,23:35.0,00:42.0,114.8973002,4.97826883,,,,,,,,,,
26,23:37.0,00:44.0,114.8972993,4.97826867,,,,,,,,,,
27,23:38.0,00:45.0,114.8972988,4.97826867,,,,,,,,,,
