Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
86,44:20.0,01:56.0,114.8973828,4.97830233,,,,,,,,,,
87,44:22.0,01:58.0,114.8973828,4.97830183,,,,,,,,,,
88,44:23.0,01:59.0,114.8973832,4.978302,,,,,,,,,,
89,44:25.0,02:01.0,114.8973835,4.97830183,,,,,,,,,,
90,44:26.0,02:02.0,114.8973835,4.9783015,,,,,,,,,,
91,44:28.0,02:04.0,114.8973833,4.978301,,,,,,,,,,
92,44:29.0,02:05.0,114.8973835,4.9783015,,,,,,,,,,
93,44:30.0,02:06.0,114.8973842,4.978301,,,,,,,,,,
94,44:31.0,02:07.0,114.8973852,4.97829833,,,,,,,,,,
95,44:32.0,02:08.0,114.8973888,4.9782955,,,,,,,,,,
96,44:34.0,02:10.0,114.897397,4.9782875,,,,,,,,,,
97,44:35.0,02:11.0,114.897404,4.9782825,,,,,,,,,,
98,44:36.0,02:12.0,114.8974117,4.97827733,,,,,,,,,,
99,44:37.0,02:13.0,114.8974203,4.97827217,,,,,,,,,,
100,44:38.0,02:14.0,114.8974278,4.97826667,,,,,,,,,,
101,44:40.0,02:16.0,114.8974438,4.97825783,,,,,,,,,,
102,44:41.0,02:17.0,114.8974528,4.9782525,,,,,,,,,,
103,44:42.0,02:18.0,114.897461,4.97824467,,,,,,,,,,
104,44:43.0,02:19.0,114.8974683,4.978237,,,,,,,,,,
105,44:44.0,02:20.0,114.8974773,4.97822833,,,,,,,,,,
106,44:46.0,02:22.0,114.8974967,4.97821367,,,,,,,,,,
107,44:47.0,02:23.0,114.8975063,4.97820783,,,,,,,,,,
108,44:48.0,02:24.0,114.8975147,4.97820217,,,,,,,,,,
109,44:49.0,02:25.0,114.8975217,4.97819633,,,,,,,,,,
110,44:50.0,02:26.0,114.8975262,4.9781945,,,,,,,,,,
111,44:52.0,02:28.0,114.8975427,4.97818667,,,,,,,,,,
112,44:53.0,02:29.0,114.8975525,4.97818317,,,,,,,,,,
113,44:54.0,02:30.0,114.897562,4.97818217,,,,,,,,,,
114,44:55.0,02:31.0,114.897573,4.978178,,,,,,,,,,
115,44:56.0,02:32.0,114.8975842,4.97817567,,,,,,,,,,
116,44:58.0,02:34.0,114.8976065,4.97817333,,,,,,,,,,
117,44:59.0,02:35.0,114.8976148,4.97817667,,,,,,,,,,
118,45:00.0,02:36.0,114.8976198,4.978179,,,,,,,,,,
119,45:02.0,02:38.0,114.8976278,4.978182,,,,,,,,,,
120,45:04.0,02:40.0,114.8976355,4.978185,,,,,,,,,,
121,45:06.0,02:42.0,114.8976412,4.978186,,,,,,,,,,
122,45:08.0,02:44.0,114.8976467,4.97818667,,,,,,,,,,
123,45:10.0,02:46.0,114.8976517,4.978188,,,,,,,,,,
124,45:12.0,02:48.0,114.897656,4.9781885,,,,,,,,,,
125,45:14.0,02:50.0,114.8976598,4.9781885,,,,,,,,,,
126,45:16.0,02:52.0,114.8976633,4.97818817,,,,,,,,,,
127,45:18.0,02:54.0,114.8976663,4.97818817,,,,,,,,,,
128,45:20.0,02:56.0,114.897669,4.97818817,,,,,,,,,,
129,45:22.0,02:58.0,114.8976717,4.978188,,,,,,,,,,
130,45:24.0,03:00.0,114.8976742,4.978188,,,,,,,,,,
131,45:26.0,03:02.0,114.8976763,4.97818717,,,,,,,,,,
132,45:28.0,03:04.0,114.8976783,4.97818667,,,,,,,,,,
133,45:30.0,03:06.0,114.8976802,4.97818617,,,,,,,,,,
134,45:32.0,03:08.0,114.8976817,4.97818617,,,,,,,,,,
135,45:34.0,03:10.0,114.897683,4.97818617,,,,,,,,,,
136,45:36.0,03:12.0,114.8976845,4.97818617,,,,,,,,,,
137,45:38.0,03:14.0,114.8976858,4.97818583,,,,,,,,,,
138,45:40.0,03:16.0,114.897687,4.9781855,,,,,,,,,,
139,45:42.0,03:18.0,114.8976882,4.97818517,,,,,,,,,,
140,45:44.0,03:20.0,114.897689,4.978185,,,,,,,,,,
141,45:46.0,03:22.0,114.8976898,4.97818467,,,,,,,,,,
142,45:48.0,03:24.0,114.8976908,4.97818417,,,,,,,,,,
143,45:50.0,03:26.0,114.8976915,4.97818333,,,,,,,,,,
144,45:52.0,03:28.0,114.8976923,4.97818233,,,,,,,,,,
145,45:54.0,03:30.0,114.8976932,4.97818167,,,,,,,,,,
146,45:56.0,03:32.0,114.8976938,4.978181,,,,,,,,,,
147,45:58.0,03:34.0,114.8976945,4.97818033,,,,,,,,,,
148,46:00.0,03:36.0,114.897695,4.97817967,,,,,,,,,,
149,46:02.0,03:38.0,114.8976957,4.978179,,,,,,,,,,
150,46:04.0,03:40.0,114.8976962,4.9781785,,,,,,,,,,
151,46:06.0,03:42.0,114.8976967,4.97817817,,,,,,,,,,
152,46:08.0,03:44.0,114.897697,4.97817783,,,,,,,,,,
153,46:10.0,03:46.0,114.8976975,4.97817733,,,,,,,,,,
154,46:12.0,03:48.0,114.8976978,4.97817683,,,,,,,,,,
155,46:14.0,03:50.0,114.8976982,4.97817633,,,,,,,,,,
156,46:16.0,03:52.0,114.8976985,4.97817567,,,,,,,,,,
157,46:18.0,03:54.0,114.897699,4.9781755,,,,,,,,,,
158,46:20.0,03:56.0,114.8976992,4.97817483,,,,,,,,,,
159,46:22.0,03:58.0,114.8976995,4.9781745,,,,,,,,,,
160,46:23.0,03:59.0,114.8976997,4.9781745,,,,,,,,,,
161,46:24.0,04:00.0,114.8976998,4.9781745,,,,,,,,,,
162,46:26.0,04:02.0,114.8977,4.9781745,,,,,,,,,,
