Index,UTC,Lon,Lat
479,06:10:08.000 06/07/2023,114.89809600,4.97845483
480,06:10:09.000 06/07/2023,114.89809600,4.97845500
481,06:10:11.000 06/07/2023,114.89809600,4.97845517
482,06:10:12.000 06/07/2023,114.89809600,4.97845517
483,06:10:14.000 06/07/2023,114.89809600,4.97845533
484,06:10:15.000 06/07/2023,114.89809600,4.97845533
485,06:10:17.000 06/07/2023,114.89809600,4.97845533
486,06:10:19.000 06/07/2023,114.89809600,4.97845550
487,06:10:20.000 06/07/2023,114.89809600,4.97845550
488,06:10:21.000 06/07/2023,114.89809600,4.97845567
489,06:10:23.000 06/07/2023,114.89809600,4.97845583
490,06:10:24.000 06/07/2023,114.89809600,4.97845600
491,06:10:26.000 06/07/2023,114.89809600,4.97845617
492,06:10:27.000 06/07/2023,114.89809600,4.97845617
493,06:10:29.000 06/07/2023,114.89809583,4.97845633
494,06:10:32.000 06/07/2023,114.89809567,4.97845650
495,06:10:33.000 06/07/2023,114.89809850,4.97845483
496,06:10:35.000 06/07/2023,114.89811283,4.97844450
497,06:10:36.000 06/07/2023,114.89811933,4.97843867
498,06:10:37.000 06/07/2023,114.89812550,4.97843100
499,06:10:38.000 06/07/2023,114.89813033,4.97842150
500,06:10:39.000 06/07/2023,114.89813433,4.97841300
501,06:10:41.000 06/07/2023,114.89813667,4.97839567
502,06:10:42.000 06/07/2023,114.89813950,4.97838417
503,06:10:44.000 06/07/2023,114.89814433,4.97836267
504,06:10:45.000 06/07/2023,114.89814550,4.97835433
505,06:10:47.000 06/07/2023,114.89815333,4.97833333
506,06:10:48.000 06/07/2023,114.89815617,4.97832350
507,06:10:50.000 06/07/2023,114.89816233,4.97830333
508,06:10:51.000 06/07/2023,114.89816383,4.97829267
509,06:10:53.000 06/07/2023,114.89816850,4.97827167
510,06:10:54.000 06/07/2023,114.89817217,4.97826100
511,06:10:56.000 06/07/2023,114.89818050,4.97824233
512,06:10:57.000 06/07/2023,114.89818517,4.97823300
513,06:10:59.000 06/07/2023,114.89819900,4.97821583
514,06:11:00.000 06/07/2023,114.89820683,4.97821000
515,06:11:01.000 06/07/2023,114.89821733,4.97820583
516,06:11:02.000 06/07/2023,114.89822950,4.97820350
517,06:11:03.000 06/07/2023,114.89824017,4.97820167
518,06:11:05.000 06/07/2023,114.89826183,4.97819317
519,06:11:06.000 06/07/2023,114.89827433,4.97818883
520,06:11:08.000 06/07/2023,114.89829833,4.97817933
521,06:11:09.000 06/07/2023,114.89830967,4.97817433
522,06:11:11.000 06/07/2023,114.89832217,4.97815983
523,06:11:12.000 06/07/2023,114.89832250,4.97814983
524,06:11:13.000 06/07/2023,114.89832150,4.97813933
525,06:11:14.000 06/07/2023,114.89831983,4.97813017
526,06:11:15.000 06/07/2023,114.89831783,4.97811967
527,06:11:16.000 06/07/2023,114.89831567,4.97811033
528,06:11:17.000 06/07/2023,114.89831267,4.97810050
529,06:11:18.000 06/07/2023,114.89830983,4.97808983
530,06:11:20.000 06/07/2023,114.89830367,4.97806950
531,06:11:22.000 06/07/2023,114.89829917,4.97805200
532,06:11:23.000 06/07/2023,114.89829917,4.97804167
533,06:11:25.000 06/07/2023,114.89829633,4.97802167
534,06:11:27.000 06/07/2023,114.89829300,4.97801017
535,06:11:29.000 06/07/2023,114.89828933,4.97800833
536,06:11:31.000 06/07/2023,114.89828983,4.97800750
537,06:11:32.000 06/07/2023,114.89828950,4.97800750
538,06:11:34.000 06/07/2023,114.89828950,4.97800733
539,06:11:36.000 06/07/2023,114.89828967,4.97800717
540,06:11:37.000 06/07/2023,114.89828983,4.97800683
541,06:11:39.000 06/07/2023,114.89828867,4.97800667
542,06:11:40.000 06/07/2023,114.89828767,4.97800683
543,06:11:41.000 06/07/2023,114.89828667,4.97800750
544,06:11:43.000 06/07/2023,114.89828633,4.97800767
545,06:11:44.000 06/07/2023,114.89828550,4.97800767
546,06:11:46.000 06/07/2023,114.89828183,4.97800817
547,06:11:50.000 06/07/2023,114.89827750,4.97801050
548,06:11:51.000 06/07/2023,114.89827717,4.97801083
549,06:11:52.000 06/07/2023,114.89827600,4.97801083
550,06:11:53.000 06/07/2023,114.89827517,4.97801100
551,06:11:55.000 06/07/2023,114.89827517,4.97801083
552,06:11:59.000 06/07/2023,114.89827417,4.97801033
553,06:12:01.000 06/07/2023,114.89827433,4.97801050
554,06:12:02.000 06/07/2023,114.89827450,4.97801050
555,06:12:04.000 06/07/2023,114.89827483,4.97801017
556,06:12:08.000 06/07/2023,114.89827517,4.97800950
557,06:12:09.000 06/07/2023,114.89827500,4.97800933
558,06:12:11.000 06/07/2023,114.89827483,4.97800900
559,06:12:13.000 06/07/2023,114.89827450,4.97800867
560,06:12:14.000 06/07/2023,114.89827400,4.97800867
561,06:12:15.000 06/07/2023,114.89827383,4.97800850
562,06:12:16.000 06/07/2023,114.89827383,4.97800833
563,06:12:17.000 06/07/2023,114.89827383,4.97800833
564,06:12:19.000 06/07/2023,114.89827400,4.97800800
565,06:12:21.000 06/07/2023,114.89827417,4.97800783
566,06:12:22.000 06/07/2023,114.89827400,4.97800767
567,06:12:25.000 06/07/2023,114.89827367,4.97800717
568,06:12:26.000 06/07/2023,114.89827317,4.97800700
569,06:12:28.000 06/07/2023,114.89827300,4.97800667
570,06:12:32.000 06/07/2023,114.89827317,4.97800600
571,06:12:34.000 06/07/2023,114.89827333,4.97800567
572,06:12:35.000 06/07/2023,114.89827300,4.97800550
573,06:12:38.000 06/07/2023,114.89827283,4.97800500
574,06:12:39.000 06/07/2023,114.89827250,4.97800483
575,06:12:40.000 06/07/2023,114.89827233,4.97800483
576,06:12:41.000 06/07/2023,114.89827233,4.97800483
577,06:12:42.000 06/07/2023,114.89827250,4.97800450
578,06:12:44.000 06/07/2023,114.89827283,4.97800383
579,06:12:45.000 06/07/2023,114.89827283,4.97800367
580,06:12:46.000 06/07/2023,114.89827267,4.97800350
581,06:12:48.000 06/07/2023,114.89827267,4.97800317
582,06:12:49.000 06/07/2023,114.89827267,4.97800317
583,06:12:51.000 06/07/2023,114.89827283,4.97800300
584,06:12:52.000 06/07/2023,114.89827300,4.97800300
585,06:12:54.000 06/07/2023,114.89827300,4.97800267
586,06:12:55.000 06/07/2023,114.89827133,4.97800133
587,06:12:57.000 06/07/2023,114.89827050,4.97800000
588,06:12:58.000 06/07/2023,114.89827050,4.97799950
589,06:13:00.000 06/07/2023,114.89826983,4.97799850
590,06:13:01.000 06/07/2023,114.89826967,4.97799800
591,06:13:03.000 06/07/2023,114.89826933,4.97799717
592,06:13:04.000 06/07/2023,114.89826917,4.97799683
593,06:13:06.000 06/07/2023,114.89826883,4.97799583
594,06:13:08.000 06/07/2023,114.89826817,4.97799483
595,06:13:09.000 06/07/2023,114.89826800,4.97799433
596,06:13:10.000 06/07/2023,114.89826800,4.97799383
597,06:13:11.000 06/07/2023,114.89826783,4.97799350
598,06:13:13.000 06/07/2023,114.89826750,4.97799283
599,06:13:15.000 06/07/2023,114.89826700,4.97799233
600,06:13:16.000 06/07/2023,114.89826683,4.97799200
601,06:13:18.000 06/07/2023,114.89826683,4.97799133
602,06:13:20.000 06/07/2023,114.89826667,4.97799067
603,06:13:21.000 06/07/2023,114.89826667,4.97799033
604,06:13:22.000 06/07/2023,114.89826683,4.97799017
605,06:13:24.000 06/07/2023,114.89826683,4.97798967
606,06:13:26.000 06/07/2023,114.89826700,4.97798933
607,06:13:27.000 06/07/2023,114.89826717,4.97798900
608,06:13:28.000 06/07/2023,114.89826733,4.97798867
609,06:13:30.000 06/07/2023,114.89826683,4.97798833
610,06:13:32.000 06/07/2023,114.89826650,4.97798817
611,06:13:33.000 06/07/2023,114.89826633,4.97798800
612,06:13:34.000 06/07/2023,114.89826633,4.97798800
613,06:13:36.000 06/07/2023,114.89826667,4.97798800
614,06:13:38.000 06/07/2023,114.89826667,4.97798817
615,06:13:39.000 06/07/2023,114.89826650,4.97798833
616,06:13:40.000 06/07/2023,114.89826617,4.97798850
617,06:13:42.000 06/07/2023,114.89826583,4.97798833
618,06:13:44.000 06/07/2023,114.89826567,4.97798833
619,06:13:45.000 06/07/2023,114.89826583,4.97798833
620,06:13:46.000 06/07/2023,114.89826600,4.97798850
621,06:13:48.000 06/07/2023,114.89826633,4.97798900
622,06:13:50.000 06/07/2023,114.89826633,4.97798933
623,06:13:51.000 06/07/2023,114.89826633,4.97798950
624,06:13:52.000 06/07/2023,114.89826667,4.97799000
625,06:13:53.000 06/07/2023,114.89826683,4.97798833
626,06:13:54.000 06/07/2023,114.89826500,4.97798133
627,06:13:55.000 06/07/2023,114.89826483,4.97797283
628,06:13:56.000 06/07/2023,114.89826583,4.97796367
629,06:13:57.000 06/07/2023,114.89826583,4.97795383
630,06:13:58.000 06/07/2023,114.89826567,4.97794367
631,06:14:00.000 06/07/2023,114.89826317,4.97792533
632,06:14:02.000 06/07/2023,114.89826033,4.97790617
633,06:14:03.000 06/07/2023,114.89825883,4.97789650
634,06:14:04.000 06/07/2023,114.89825633,4.97788700
635,06:14:05.000 06/07/2023,114.89825383,4.97787733
636,06:14:06.000 06/07/2023,114.89825217,4.97786783
637,06:14:08.000 06/07/2023,114.89824633,4.97784917
638,06:14:09.000 06/07/2023,114.89824367,4.97784067
639,06:14:10.000 06/07/2023,114.89824000,4.97783067
640,06:14:12.000 06/07/2023,114.89823367,4.97781183
641,06:14:14.000 06/07/2023,114.89822717,4.97779700
642,06:14:15.000 06/07/2023,114.89822450,4.97778900
643,06:14:16.000 06/07/2023,114.89822183,4.97778100
644,06:14:18.000 06/07/2023,114.89821567,4.97776433
645,06:14:19.000 06/07/2023,114.89821150,4.97775567
646,06:14:20.000 06/07/2023,114.89820767,4.97774617
647,06:14:21.000 06/07/2023,114.89820450,4.97773783
648,06:14:22.000 06/07/2023,114.89820000,4.97772900
649,06:14:23.000 06/07/2023,114.89819717,4.97772050
650,06:14:24.000 06/07/2023,114.89819417,4.97771217
651,06:14:25.000 06/07/2023,114.89818917,4.97770317
652,06:14:26.000 06/07/2023,114.89818350,4.97769433
653,06:14:27.000 06/07/2023,114.89817783,4.97768400
654,06:14:28.000 06/07/2023,114.89817150,4.97767483
655,06:14:29.000 06/07/2023,114.89816517,4.97766550
656,06:14:31.000 06/07/2023,114.89815567,4.97764800
657,06:14:33.000 06/07/2023,114.89814567,4.97763067
658,06:14:34.000 06/07/2023,114.89814000,4.97762150
659,06:14:35.000 06/07/2023,114.89813200,4.97761100
660,06:14:37.000 06/07/2023,114.89812067,4.97759283
661,06:14:39.000 06/07/2023,114.89811250,4.97757650
662,06:14:40.000 06/07/2023,114.89810750,4.97756783
663,06:14:41.000 06/07/2023,114.89810117,4.97755883
664,06:14:42.000 06/07/2023,114.89809483,4.97755033
665,06:14:43.000 06/07/2023,114.89808867,4.97754100
666,06:14:45.000 06/07/2023,114.89807967,4.97752367
667,06:14:46.000 06/07/2023,114.89807533,4.97751567
668,06:14:47.000 06/07/2023,114.89806983,4.97750700
669,06:14:48.000 06/07/2023,114.89806383,4.97749700
670,06:14:49.000 06/07/2023,114.89805683,4.97748767
671,06:14:50.000 06/07/2023,114.89805067,4.97747900
672,06:14:51.000 06/07/2023,114.89804450,4.97747017
673,06:14:53.000 06/07/2023,114.89803250,4.97745300
674,06:14:54.000 06/07/2023,114.89802683,4.97744467
675,06:14:56.000 06/07/2023,114.89801617,4.97742583
676,06:14:57.000 06/07/2023,114.89801083,4.97741567
677,06:14:59.000 06/07/2023,114.89799800,4.97739583
678,06:15:00.000 06/07/2023,114.89799183,4.97738667
679,06:15:02.000 06/07/2023,114.89798017,4.97736900
680,06:15:03.000 06/07/2023,114.89797583,4.97736067
681,06:15:05.000 06/07/2023,114.89796500,4.97734417
682,06:15:06.000 06/07/2023,114.89795900,4.97733483
683,06:15:08.000 06/07/2023,114.89794583,4.97731567
684,06:15:09.000 06/07/2023,114.89793933,4.97730633
685,06:15:11.000 06/07/2023,114.89792850,4.97728617
686,06:15:12.000 06/07/2023,114.89792350,4.97727850
687,06:15:14.000 06/07/2023,114.89791600,4.97726900
688,06:15:15.000 06/07/2023,114.89791450,4.97726883
689,06:15:17.000 06/07/2023,114.89791433,4.97726900
690,06:15:18.000 06/07/2023,114.89791450,4.97726917
691,06:15:20.000 06/07/2023,114.89791450,4.97726933
692,06:15:21.000 06/07/2023,114.89791467,4.97726933
693,06:15:22.000 06/07/2023,114.89791467,4.97726950
694,06:15:24.000 06/07/2023,114.89791483,4.97726950
695,06:15:25.000 06/07/2023,114.89791483,4.97726967
696,06:15:27.000 06/07/2023,114.89791500,4.97726967
697,06:15:28.000 06/07/2023,114.89791500,4.97726967
698,06:15:31.000 06/07/2023,114.89791517,4.97726967
699,06:15:32.000 06/07/2023,114.89791533,4.97726983
700,06:15:33.000 06/07/2023,114.89791533,4.97726983
701,06:15:34.000 06/07/2023,114.89791550,4.97727000
702,06:15:36.000 06/07/2023,114.89791567,4.97727033
703,06:15:37.000 06/07/2023,114.89791567,4.97727033
704,06:15:38.000 06/07/2023,114.89791583,4.97727050
705,06:15:39.000 06/07/2023,114.89791583,4.97727067
706,06:15:40.000 06/07/2023,114.89791600,4.97727067
707,06:15:42.000 06/07/2023,114.89791617,4.97727083
708,06:15:44.000 06/07/2023,114.89791617,4.97727100
709,06:15:45.000 06/07/2023,114.89791633,4.97727100
710,06:15:46.000 06/07/2023,114.89791633,4.97727100
711,06:15:48.000 06/07/2023,114.89791650,4.97727117
712,06:15:50.000 06/07/2023,114.89791600,4.97727017
713,06:15:51.000 06/07/2023,114.89791650,4.97727117
714,06:15:52.000 06/07/2023,114.89791683,4.97727167
715,06:15:54.000 06/07/2023,114.89791683,4.97727183
716,06:15:56.000 06/07/2023,114.89791683,4.97727200
717,06:15:57.000 06/07/2023,114.89791683,4.97727217
718,06:15:58.000 06/07/2023,114.89791683,4.97727217
719,06:16:00.000 06/07/2023,114.89791700,4.97727217
720,06:16:02.000 06/07/2023,114.89791700,4.97727233
721,06:16:03.000 06/07/2023,114.89791700,4.97727250
722,06:16:04.000 06/07/2023,114.89791700,4.97727250
723,06:16:06.000 06/07/2023,114.89791717,4.97727267
724,06:16:08.000 06/07/2023,114.89791717,4.97727267
725,06:16:09.000 06/07/2023,114.89791717,4.97727267
726,06:16:10.000 06/07/2023,114.89791717,4.97727283
727,06:16:11.000 06/07/2023,114.89791717,4.97727283
728,06:16:12.000 06/07/2023,114.89791717,4.97727283
729,06:16:14.000 06/07/2023,114.89791717,4.97727300
730,06:16:15.000 06/07/2023,114.89791717,4.97727300
731,06:16:16.000 06/07/2023,114.89791717,4.97727300
732,06:16:18.000 06/07/2023,114.89791717,4.97727317
733,06:16:20.000 06/07/2023,114.89791733,4.97727317
734,06:16:21.000 06/07/2023,114.89791733,4.97727333
735,06:16:22.000 06/07/2023,114.89791717,4.97727333
736,06:16:23.000 06/07/2023,114.89791717,4.97727333
737,06:16:24.000 06/07/2023,114.89791717,4.97727333
738,06:16:26.000 06/07/2023,114.89791717,4.97727350
739,06:16:27.000 06/07/2023,114.89791717,4.97727367
740,06:16:28.000 06/07/2023,114.89791717,4.97727367
741,06:16:30.000 06/07/2023,114.89791717,4.97727383
742,06:16:31.000 06/07/2023,114.89791717,4.97727383
743,06:16:32.000 06/07/2023,114.89791717,4.97727383
744,06:16:33.000 06/07/2023,114.89791717,4.97727400
745,06:16:34.000 06/07/2023,114.89791717,4.97727400
746,06:16:36.000 06/07/2023,114.89791717,4.97727417
747,06:16:38.000 06/07/2023,114.89791717,4.97727417
748,06:16:39.000 06/07/2023,114.89791717,4.97727433
749,06:16:40.000 06/07/2023,114.89791717,4.97727433
750,06:16:42.000 06/07/2023,114.89791700,4.97727433
751,06:16:44.000 06/07/2023,114.89791700,4.97727433
752,06:16:45.000 06/07/2023,114.89791700,4.97727450
753,06:16:46.000 06/07/2023,114.89791700,4.97727450
754,06:16:48.000 06/07/2023,114.89791700,4.97727450
755,06:16:50.000 06/07/2023,114.89791700,4.97727467
756,06:16:51.000 06/07/2023,114.89791700,4.97727467
757,06:16:52.000 06/07/2023,114.89791717,4.97727467
758,06:16:54.000 06/07/2023,114.89791717,4.97727467
759,06:16:56.000 06/07/2023,114.89791717,4.97727467
760,06:16:57.000 06/07/2023,114.89791717,4.97727467
761,06:16:58.000 06/07/2023,114.89791717,4.97727467
762,06:17:00.000 06/07/2023,114.89791717,4.97727483
763,06:17:02.000 06/07/2023,114.89791733,4.97727483
764,06:17:03.000 06/07/2023,114.89791733,4.97727483
765,06:17:04.000 06/07/2023,114.89791733,4.97727483
766,06:17:06.000 06/07/2023,114.89791717,4.97727483
767,06:17:08.000 06/07/2023,114.89791717,4.97727483
768,06:17:09.000 06/07/2023,114.89791717,4.97727483
769,06:17:10.000 06/07/2023,114.89791733,4.97727483
770,06:17:12.000 06/07/2023,114.89791733,4.97727483
771,06:17:14.000 06/07/2023,114.89791733,4.97727483
772,06:17:15.000 06/07/2023,114.89791733,4.97727483
773,06:17:16.000 06/07/2023,114.89791733,4.97727483
774,06:17:18.000 06/07/2023,114.89791733,4.97727483
775,06:17:20.000 06/07/2023,114.89791750,4.97727500
776,06:17:21.000 06/07/2023,114.89791750,4.97727500
777,06:17:22.000 06/07/2023,114.89791750,4.97727500
778,06:17:24.000 06/07/2023,114.89791750,4.97727483
779,06:17:26.000 06/07/2023,114.89791750,4.97727483
780,06:17:27.000 06/07/2023,114.89791750,4.97727483
781,06:17:28.000 06/07/2023,114.89791750,4.97727483
782,06:17:32.000 06/07/2023,114.89791800,4.97727500
783,06:17:33.000 06/07/2023,114.89791783,4.97727617
784,06:17:34.000 06/07/2023,114.89791550,4.97727733
785,06:17:36.000 06/07/2023,114.89790500,4.97728033
786,06:17:38.000 06/07/2023,114.89789300,4.97728633
787,06:17:39.000 06/07/2023,114.89789133,4.97728567
788,06:17:40.000 06/07/2023,114.89789083,4.97728167
789,06:17:41.000 06/07/2023,114.89788783,4.97727850
790,06:17:42.000 06/07/2023,114.89788267,4.97727500
791,06:17:43.000 06/07/2023,114.89788033,4.97727233
792,06:17:44.000 06/07/2023,114.89787967,4.97727150
793,06:17:45.000 06/07/2023,114.89787500,4.97727167
794,06:17:46.000 06/07/2023,114.89786733,4.97727083
795,06:17:48.000 06/07/2023,114.89785050,4.97727200
796,06:17:50.000 06/07/2023,114.89782833,4.97727517
797,06:17:51.000 06/07/2023,114.89781800,4.97727717
798,06:17:52.000 06/07/2023,114.89780783,4.97727900
799,06:17:54.000 06/07/2023,114.89779267,4.97728200
800,06:17:56.000 06/07/2023,114.89778583,4.97728117
801,06:17:57.000 06/07/2023,114.89778417,4.97728117
802,06:17:58.000 06/07/2023,114.89778417,4.97728117
803,06:18:00.000 06/07/2023,114.89777833,4.97728267
804,06:18:02.000 06/07/2023,114.89777333,4.97728633
805,06:18:03.000 06/07/2023,114.89776650,4.97728900
806,06:18:04.000 06/07/2023,114.89776317,4.97729067
807,06:18:06.000 06/07/2023,114.89776333,4.97729300
808,06:18:08.000 06/07/2023,114.89776217,4.97729350
809,06:18:09.000 06/07/2023,114.89776233,4.97729367
810,06:18:10.000 06/07/2023,114.89776233,4.97729383
811,06:18:12.000 06/07/2023,114.89776250,4.97729367
812,06:18:14.000 06/07/2023,114.89776283,4.97729383
813,06:18:15.000 06/07/2023,114.89776283,4.97729317
814,06:18:16.000 06/07/2023,114.89776350,4.97729350
815,06:18:17.000 06/07/2023,114.89775967,4.97729333
816,06:18:18.000 06/07/2023,114.89775717,4.97729400
817,06:18:20.000 06/07/2023,114.89775383,4.97729617
818,06:18:21.000 06/07/2023,114.89775217,4.97729767
819,06:18:22.000 06/07/2023,114.89775017,4.97729750
820,06:18:23.000 06/07/2023,114.89774833,4.97729900
821,06:18:24.000 06/07/2023,114.89774717,4.97730067
822,06:18:26.000 06/07/2023,114.89774250,4.97730517
823,06:18:27.000 06/07/2023,114.89774017,4.97730700
824,06:18:29.000 06/07/2023,114.89773600,4.97731150
825,06:18:30.000 06/07/2023,114.89773533,4.97731233
826,06:18:32.000 06/07/2023,114.89773200,4.97731450
827,06:18:33.000 06/07/2023,114.89773050,4.97731583
828,06:18:35.000 06/07/2023,114.89772550,4.97731667
829,06:18:36.000 06/07/2023,114.89772250,4.97732133
830,06:18:38.000 06/07/2023,114.89771333,4.97732850
831,06:18:39.000 06/07/2023,114.89771200,4.97733150
832,06:18:41.000 06/07/2023,114.89771267,4.97733600
833,06:18:42.000 06/07/2023,114.89771233,4.97733750
834,06:18:44.000 06/07/2023,114.89770933,4.97734467
835,06:18:45.000 06/07/2023,114.89770817,4.97734550
836,06:18:47.000 06/07/2023,114.89770633,4.97734467
837,06:18:48.000 06/07/2023,114.89770633,4.97734400
838,06:18:50.000 06/07/2023,114.89770667,4.97734333
839,06:18:51.000 06/07/2023,114.89770683,4.97734383
840,06:18:52.000 06/07/2023,114.89770700,4.97734417
841,06:18:53.000 06/07/2023,114.89770783,4.97734400
842,06:18:54.000 06/07/2023,114.89770767,4.97734450
843,06:18:55.000 06/07/2023,114.89770683,4.97734450
844,06:18:56.000 06/07/2023,114.89770650,4.97734417
845,06:18:57.000 06/07/2023,114.89770617,4.97734417
846,06:18:58.000 06/07/2023,114.89770517,4.97734450
847,06:18:59.000 06/07/2023,114.89770483,4.97734533
848,06:19:00.000 06/07/2023,114.89770483,4.97734533
849,06:19:01.000 06/07/2023,114.89770467,4.97734533
850,06:19:02.000 06/07/2023,114.89770483,4.97734500
851,06:19:03.000 06/07/2023,114.89770483,4.97734517
852,06:19:05.000 06/07/2023,114.89770550,4.97734650
853,06:19:06.000 06/07/2023,114.89770517,4.97734683
854,06:19:07.000 06/07/2023,114.89770500,4.97734733
855,06:19:08.000 06/07/2023,114.89770483,4.97734700
856,06:19:09.000 06/07/2023,114.89770500,4.97734717
857,06:19:10.000 06/07/2023,114.89770467,4.97734667
858,06:19:11.000 06/07/2023,114.89770450,4.97734633
859,06:19:13.000 06/07/2023,114.89770483,4.97734600
860,06:19:14.000 06/07/2023,114.89770483,4.97734550
861,06:19:15.000 06/07/2023,114.89770500,4.97734500
862,06:19:17.000 06/07/2023,114.89770483,4.97734467
863,06:19:18.000 06/07/2023,114.89770500,4.97734500
864,06:19:19.000 06/07/2023,114.89770517,4.97734517
865,06:19:20.000 06/07/2023,114.89770533,4.97734517
866,06:19:21.000 06/07/2023,114.89770567,4.97734533
867,06:19:23.000 06/07/2023,114.89770600,4.97734567
868,06:19:24.000 06/07/2023,114.89770617,4.97734567
869,06:19:25.000 06/07/2023,114.89770633,4.97734567
870,06:19:26.000 06/07/2023,114.89770633,4.97734567
871,06:19:27.000 06/07/2023,114.89770633,4.97734600
872,06:19:28.000 06/07/2023,114.89770650,4.97734600
873,06:19:29.000 06/07/2023,114.89770650,4.97734600
874,06:19:30.000 06/07/2023,114.89770700,4.97734567
875,06:19:31.000 06/07/2023,114.89770700,4.97734550
876,06:19:32.000 06/07/2023,114.89770683,4.97734533
877,06:19:33.000 06/07/2023,114.89770650,4.97734500
878,06:19:34.000 06/07/2023,114.89770633,4.97734483
879,06:19:35.000 06/07/2023,114.89770633,4.97734467
880,06:19:36.000 06/07/2023,114.89770650,4.97734467
881,06:19:37.000 06/07/2023,114.89770717,4.97734500
882,06:19:38.000 06/07/2023,114.89770700,4.97734517
883,06:19:39.000 06/07/2023,114.89770683,4.97734500
884,06:19:41.000 06/07/2023,114.89770683,4.97734483
885,06:19:42.000 06/07/2023,114.89770683,4.97734517
886,06:19:43.000 06/07/2023,114.89770333,4.97734750
887,06:19:44.000 06/07/2023,114.89770083,4.97735083
888,06:19:45.000 06/07/2023,114.89769683,4.97735250
889,06:19:46.000 06/07/2023,114.89769350,4.97735317
890,06:19:47.000 06/07/2023,114.89769133,4.97735417
891,06:19:49.000 06/07/2023,114.89768350,4.97736117
892,06:19:50.000 06/07/2023,114.89767933,4.97736500
893,06:19:51.000 06/07/2023,114.89767517,4.97736900
894,06:19:52.000 06/07/2023,114.89767217,4.97737150
895,06:19:53.000 06/07/2023,114.89766933,4.97737583
896,06:19:54.000 06/07/2023,114.89766717,4.97737967
897,06:19:55.000 06/07/2023,114.89766450,4.97738250
898,06:19:56.000 06/07/2023,114.89766150,4.97738450
899,06:19:57.000 06/07/2023,114.89765783,4.97738817
900,06:19:58.000 06/07/2023,114.89765317,4.97739317
901,06:20:01.000 06/07/2023,114.89764667,4.97740117
902,06:20:02.000 06/07/2023,114.89764433,4.97740250
903,06:20:03.000 06/07/2023,114.89763817,4.97740233
904,06:20:04.000 06/07/2023,114.89763050,4.97740100
905,06:20:06.000 06/07/2023,114.89761617,4.97739900
906,06:20:07.000 06/07/2023,114.89760767,4.97739717
907,06:20:09.000 06/07/2023,114.89758867,4.97739133
908,06:20:10.000 06/07/2023,114.89758100,4.97739017
909,06:20:11.000 06/07/2023,114.89757250,4.97738783
910,06:20:13.000 06/07/2023,114.89755400,4.97738833
911,06:20:14.000 06/07/2023,114.89754417,4.97738783
912,06:20:16.000 06/07/2023,114.89752617,4.97738583
913,06:20:17.000 06/07/2023,114.89751600,4.97738817
914,06:20:18.000 06/07/2023,114.89750683,4.97738900
915,06:20:20.000 06/07/2023,114.89748517,4.97738833
916,06:20:22.000 06/07/2023,114.89746417,4.97738800
917,06:20:23.000 06/07/2023,114.89745450,4.97738983
918,06:20:24.000 06/07/2023,114.89744450,4.97739033
919,06:20:26.000 06/07/2023,114.89742317,4.97739267
920,06:20:27.000 06/07/2023,114.89741183,4.97738933
921,06:20:28.000 06/07/2023,114.89740233,4.97737750
922,06:20:29.000 06/07/2023,114.89739717,4.97735867
923,06:20:30.000 06/07/2023,114.89739467,4.97733933
924,06:20:31.000 06/07/2023,114.89739500,4.97732200
925,06:20:32.000 06/07/2023,114.89739667,4.97730650
926,06:20:33.000 06/07/2023,114.89739950,4.97729567
927,06:20:35.000 06/07/2023,114.89740533,4.97727333
928,06:20:37.000 06/07/2023,114.89741083,4.97726167
929,06:20:39.000 06/07/2023,114.89741150,4.97726300
930,06:20:40.000 06/07/2023,114.89741150,4.97726350
931,06:20:41.000 06/07/2023,114.89741250,4.97726350
932,06:20:42.000 06/07/2023,114.89741267,4.97726350
933,06:20:43.000 06/07/2023,114.89741250,4.97726333
934,06:20:44.000 06/07/2023,114.89741233,4.97726283
935,06:20:45.000 06/07/2023,114.89741183,4.97726250
936,06:20:46.000 06/07/2023,114.89741167,4.97726250
937,06:20:47.000 06/07/2023,114.89741150,4.97726250
938,06:20:48.000 06/07/2023,114.89741150,4.97726250
939,06:20:49.000 06/07/2023,114.89741200,4.97726233
940,06:20:50.000 06/07/2023,114.89741233,4.97726217
941,06:20:51.000 06/07/2023,114.89741267,4.97726217
942,06:20:52.000 06/07/2023,114.89741300,4.97726200
943,06:20:53.000 06/07/2023,114.89741300,4.97726183
944,06:20:54.000 06/07/2023,114.89741300,4.97726167
945,06:20:55.000 06/07/2023,114.89741283,4.97726150
946,06:20:56.000 06/07/2023,114.89741283,4.97726133
947,06:20:58.000 06/07/2023,114.89741283,4.97726100
948,06:21:00.000 06/07/2023,114.89741283,4.97726067
949,06:21:01.000 06/07/2023,114.89741283,4.97726050
950,06:21:02.000 06/07/2023,114.89741283,4.97726050
951,06:21:03.000 06/07/2023,114.89741300,4.97726050
952,06:21:05.000 06/07/2023,114.89741300,4.97726033
953,06:21:07.000 06/07/2023,114.89741283,4.97726033
954,06:21:08.000 06/07/2023,114.89741267,4.97726017
955,06:21:10.000 06/07/2023,114.89741283,4.97726017
956,06:21:12.000 06/07/2023,114.89741300,4.97726033
957,06:21:13.000 06/07/2023,114.89741300,4.97726050
958,06:21:14.000 06/07/2023,114.89741300,4.97726050
959,06:21:16.000 06/07/2023,114.89741283,4.97726067
960,06:21:18.000 06/07/2023,114.89741283,4.97726083
