Index,UTC,Lon,Lat
109,06:02:03.000 06/07/2023,114.89732950,4.97823333
110,06:02:04.000 06/07/2023,114.89733633,4.97822917
111,06:02:05.000 06/07/2023,114.89734200,4.97822500
112,06:02:06.000 06/07/2023,114.89734900,4.97822100
113,06:02:08.000 06/07/2023,114.89736350,4.97821217
114,06:02:09.000 06/07/2023,114.89737133,4.97820750
115,06:02:10.000 06/07/2023,114.89737883,4.97820317
116,06:02:11.000 06/07/2023,114.89738633,4.97819867
117,06:02:12.000 06/07/2023,114.89739217,4.97819217
118,06:02:13.000 06/07/2023,114.89739733,4.97818667
119,06:02:15.000 06/07/2023,114.89741183,4.97817600
120,06:02:17.000 06/07/2023,114.89742783,4.97816733
121,06:02:19.000 06/07/2023,114.89744417,4.97815933
122,06:02:20.000 06/07/2023,114.89745367,4.97815650
123,06:02:22.000 06/07/2023,114.89746950,4.97814733
124,06:02:24.000 06/07/2023,114.89749200,4.97813950
125,06:02:26.000 06/07/2023,114.89751783,4.97813250
126,06:02:27.000 06/07/2023,114.89752917,4.97812883
127,06:02:29.000 06/07/2023,114.89754567,4.97813317
128,06:02:31.000 06/07/2023,114.89756783,4.97814650
129,06:02:32.000 06/07/2023,114.89757617,4.97815133
130,06:02:33.000 06/07/2023,114.89758333,4.97815550
131,06:02:35.000 06/07/2023,114.89759567,4.97816267
132,06:02:37.000 06/07/2023,114.89760567,4.97816717
133,06:02:38.000 06/07/2023,114.89761000,4.97816933
134,06:02:39.000 06/07/2023,114.89761383,4.97817133
135,06:02:40.000 06/07/2023,114.89761750,4.97817267
136,06:02:41.000 06/07/2023,114.89762033,4.97817317
137,06:02:42.000 06/07/2023,114.89762300,4.97817400
138,06:02:43.000 06/07/2023,114.89762567,4.97817417
139,06:02:44.000 06/07/2023,114.89762817,4.97817433
140,06:02:46.000 06/07/2023,114.89763383,4.97817483
141,06:02:47.000 06/07/2023,114.89763633,4.97817467
142,06:02:48.000 06/07/2023,114.89763883,4.97817450
